Id,Demand,Payment,Payment_Demand_Ratio
0,0.1,10,100
1,0.2,20.4,102
2,0.3,30.9,103
3,0.2,21,105
4,0.3,30.4,101.3333333
5,0.1,9.5,95
6,0.1,12,120
7,0.2,20,100
8,0.2,21,105
9,0.3,31,103.3333333
10,0.22,25,113.6363636
11,0.21,22,104.7619048
12,0.1,11,110
13,0.15,13,86.66666667
14,0.12,14,116.6666667
15,0.22,24,109.0909091
16,0.3,33,110
17,0.2,22,110
18,0.2,24,120
19,0.1,12,120
20,0.21,24,114.2857143
21,0.1,13,130
22,0.2,24,120
23,0.3,34,113.3333333
24,0.2,22,110
25,0.2,23,115
26,0.1,23,230
27,0.2,25,125
28,0.2,24,120
29,0.3,34,113.3333333
30,0.4,45,112.5
31,0.2,20,100
32,0.2,21,105
33,0.4,41,102.5
34,0.2,22,110
35,0.5,55,110
36,0.2,21,105
37,0.1,10,100
38,0.2,20,100
39,0.2,21,105
40,0.2,21,105
41,0.2,23,115
42,0.3,31,103.3333333
43,0.2,22,110
44,0.2,22,110
45,0.2,21,105
46,0.1,12,120
47,0.4,44,110
48,0.3,33,110
49,0.3,32,106.6666667
50,0.2,24,120
51,0.2,24,120
52,0.2,23,115
53,0.2,21,105
54,0.3,33,110
55,0.1,11,110
56,0.2,22,110
57,0.3,33,110
58,0.3,33,110
59,0.2,21,105
60,0.2,24,120
61,0.1,11,110
62,0.2,20,100
63,0.2,21,105
64,0.2,21,105
65,0.2,22,110
66,0.2,23,115
67,0.2,24,120
68,0.2,21,105
69,0.1,10,100
70,0.2,25,125
71,0.2,26,130
72,0.2,21,105
73,0.3,33,110
74,0.2,21,105
75,0.2,20,100
76,0.1,12,120
77,0.15,16,106.6666667
78,0.5,59,118
79,0.2,24,120
80,0.3,30,100
81,0.2,21,105
82,0.2,21,105
83,0.2,24,120
84,0.4,47,117.5
85,0.2,22,110
86,0.4,44,110
87,0.5,54,108
88,0.5,51,102
89,0.1,11,110
90,0.2,22,110
91,0.2,21,105
92,0.3,31,103.3333333
93,0.3,32,106.6666667
94,0.1,11,110
95,0.2,22,110
96,0.2,21,105
97,0.2,23,115
98,0.4,45,112.5
99,0.4,44,110
