"B_index","B_id","Latitude","Longitude","Media","B_Size","Influence","B_Cost"
"1","18","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"2","22","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"3","23","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"4","68","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"5","69","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"6","70","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"7","75","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"8","76","40.85071","-73.93581","Poster","242.74","0.023199847","5418.19954"
"9","104","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"10","105","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"11","106","40.85071","-73.93581","Poster","242.74","0.046399694","5418.19954"
"12","125","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"13","143","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"14","144","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"15","162","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"16","163","40.86981","-73.9166","Poster","242.74","0.023199847","5418.19954"
"17","167","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"18","171","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"19","176","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"20","184","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"21","185","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"22","194","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"23","195","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"24","196","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"25","212","40.86981","-73.9166","Poster","242.74","0.023199847","5418.19954"
"26","215","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"27","216","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"28","222","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"29","257","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"30","258","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"31","261","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"32","262","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"33","288","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"34","289","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"35","290","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"36","291","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"37","292","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"38","296","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"39","297","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"40","300","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"41","301","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"42","304","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"43","305","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"44","311","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"45","320","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"46","321","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"47","331","40.818089","-73.960708","Poster","242.74","0.023199847","5418.19954"
"48","334","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"49","335","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"50","336","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"51","337","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"52","348","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"53","373","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"54","374","40.818089","-73.960708","Poster","242.74","0.023199847","5418.19954"
"55","409","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"56","412","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"57","415","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"58","416","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"59","425","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"60","432","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"61","434","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"62","458","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"63","468","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"64","475","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"65","476","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"66","503","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"67","506","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"68","518","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"69","533","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"70","550","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"71","557","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"72","575","40.818089","-73.960708","Poster","242.74","0.023199847","5418.19954"
"73","576","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"74","607","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"75","610","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"76","614","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"77","615","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"78","643","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"79","651","40.818089","-73.960708","Poster","242.74","0.023199847","5418.19954"
"80","652","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"81","653","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"82","675","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"83","678","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"84","679","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"85","691","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"86","692","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"87","706","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"88","721","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"89","722","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"90","725","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"91","752","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"92","753","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"93","754","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"94","756","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"95","757","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"96","794","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"97","795","40.818089","-73.960708","Poster","242.74","0.023199847","5418.19954"
"98","819","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"99","820","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"100","851","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"101","896","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"102","897","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"103","916","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"104","948","40.818089","-73.960708","Poster","242.74","0.023199847","5418.19954"
"105","968","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"106","969","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
